id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance,business_hours,attributes
dnHSLaWVWnSsOqt5ZaDpsg,añejo-cantina-and-kitchen-san-jose,Añejo Cantina & Kitchen,https://s3-media3.fl.yelpcdn.com/bphoto/qwFBGZviBwDGDry-aAue7g/o.jpg,False,https://www.yelp.com/biz/a%C3%B1ejo-cantina-and-kitchen-san-jose?adjust_creative=T0nE3C9Bhi-6h61-ui1B4g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=T0nE3C9Bhi-6h61-ui1B4g,478,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'mexican', 'title': 'Mexican'}]",4.4,"{'latitude': 37.30798313369885, 'longitude': -121.95099551901517}","['delivery', 'restaurant_reservation', 'pickup']",$$,"{'address1': '3132 Williams Rd', 'address2': None, 'address3': '', 'city': 'San Jose', 'zip_code': '95117', 'country': 'US', 'state': 'CA', 'display_address': ['3132 Williams Rd', 'San Jose, CA 95117']}",+14082613714,(408) 261-3714,5911.124797630216,"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2000', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2000', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '0000', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '1900', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]","{'business_temp_closed': None, 'menu_url': 'https://bumblebee-rhombus-h83d.squarespace.com/menu', 'open24_hours': None, 'waitlist_reservation': True}"
cnwaqVOwNqUr0gsBBBhV7g,el-cabron-kitchen-and-cantina-san-jose,El Cabron Kitchen & Cantina,https://s3-media1.fl.yelpcdn.com/bphoto/PoPSOMQYaEXc8-rjguHMfg/o.jpg,False,https://www.yelp.com/biz/el-cabron-kitchen-and-cantina-san-jose?adjust_creative=T0nE3C9Bhi-6h61-ui1B4g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=T0nE3C9Bhi-6h61-ui1B4g,570,"[{'alias': 'mexican', 'title': 'Mexican'}]",4.1,"{'latitude': 37.33339316241172, 'longitude': -121.8917697}",['restaurant_reservation'],$$$,"{'address1': '155 W. San Fernando St', 'address2': '', 'address3': None, 'city': 'San Jose', 'zip_code': '95113', 'country': 'US', 'state': 'CA', 'display_address': ['155 W. San Fernando St', 'San Jose, CA 95113']}",+14083202478,(408) 320-2478,1962.2902970119815,"[{'open': [{'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 3}, {'is_overnight': True, 'start': '1600', 'end': '0130', 'day': 4}, {'is_overnight': True, 'start': '1600', 'end': '0130', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]","{'business_temp_closed': None, 'menu_url': None, 'open24_hours': None, 'waitlist_reservation': True}"
berEiBE0fDM-HiYFEAf-Ww,goodtime-bar-san-jose,Goodtime Bar,https://s3-media2.fl.yelpcdn.com/bphoto/lEEjBtL6qaBCYS_BC2CrnA/o.jpg,False,https://www.yelp.com/biz/goodtime-bar-san-jose?adjust_creative=T0nE3C9Bhi-6h61-ui1B4g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=T0nE3C9Bhi-6h61-ui1B4g,125,"[{'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}, {'alias': 'seafood', 'title': 'Seafood'}]",4.8,"{'latitude': 37.336240164756504, 'longitude': -121.88963391534423}",[],$$,"{'address1': '30 Fountain Alley', 'address2': 'Ste 160', 'address3': None, 'city': 'San Jose', 'zip_code': '95113', 'country': 'US', 'state': 'CA', 'display_address': ['30 Fountain Alley', 'Ste 160', 'San Jose, CA 95113']}",+14082561266,(408) 256-1266,2223.823786248024,"[{'open': [{'is_overnight': False, 'start': '1600', 'end': '2300', 'day': 0}, {'is_overnight': False, 'start': '1600', 'end': '2300', 'day': 2}, {'is_overnight': False, 'start': '1600', 'end': '2300', 'day': 3}, {'is_overnight': False, 'start': '1600', 'end': '0000', 'day': 4}, {'is_overnight': False, 'start': '1400', 'end': '0000', 'day': 5}, {'is_overnight': False, 'start': '1400', 'end': '2200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]","{'business_temp_closed': None, 'menu_url': 'https://static1.squarespace.com/static/6320c32366778900b5e95771/t/671c0e585f0f8e7941ace556/1729891928747/Sample_Menu_Oct24.pdf', 'open24_hours': None, 'waitlist_reservation': None}"
hFf1M3QLSp7gOsSX5btixw,serious-dumpling-正经生煎-san-jose,Serious Dumpling 正经生煎,https://s3-media2.fl.yelpcdn.com/bphoto/1tNYt0LownSmbwdKZz-Ajg/o.jpg,False,https://www.yelp.com/biz/serious-dumpling-%E6%AD%A3%E7%BB%8F%E7%94%9F%E7%85%8E-san-jose?adjust_creative=T0nE3C9Bhi-6h61-ui1B4g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=T0nE3C9Bhi-6h61-ui1B4g,1008,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'noodles', 'title': 'Noodles'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]",4.0,"{'latitude': 37.33577163461222, 'longitude': -121.8935519445849}","['delivery', 'pickup']",$$,"{'address1': '49 North San Pedro St', 'address2': None, 'address3': None, 'city': 'San Jose', 'zip_code': '95110', 'country': 'US', 'state': 'CA', 'display_address': ['49 North San Pedro St', 'San Jose, CA 95110']}",+14083202023,(408) 320-2023,2263.1899237137577,"[{'open': [{'is_overnight': False, 'start': '1200', 'end': '1430', 'day': 0}, {'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '1200', 'end': '1430', 'day': 1}, {'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '1200', 'end': '1430', 'day': 2}, {'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '1200', 'end': '1430', 'day': 3}, {'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '1200', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '1200', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '1200', 'end': '2200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]","{'business_temp_closed': None, 'menu_url': 'https://www.seriousdumpling.com/menu', 'open24_hours': None, 'waitlist_reservation': None}"
eiOviOLjM_tBInEXP2VpNg,milan-san-jose-2,Milan,https://s3-media2.fl.yelpcdn.com/bphoto/FOtFqGd-0-RTi6UEEaX_KA/o.jpg,False,https://www.yelp.com/biz/milan-san-jose-2?adjust_creative=T0nE3C9Bhi-6h61-ui1B4g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=T0nE3C9Bhi-6h61-ui1B4g,133,"[{'alias': 'italian', 'title': 'Italian'}]",4.3,"{'latitude': 37.292268, 'longitude': -121.912447}",['restaurant_reservation'],,"{'address1': '1712 Meridian Ave', 'address2': 'Ste F', 'address3': '', 'city': 'San Jose', 'zip_code': '95125', 'country': 'US', 'state': 'CA', 'display_address': ['1712 Meridian Ave', 'Ste F', 'San Jose, CA 95125']}",+14086774096,(408) 677-4096,3640.391653556477,"[{'open': [{'is_overnight': False, 'start': '1700', 'end': '2130', 'day': 0}, {'is_overnight': False, 'start': '1700', 'end': '2130', 'day': 1}, {'is_overnight': False, 'start': '1700', 'end': '2130', 'day': 2}, {'is_overnight': False, 'start': '1700', 'end': '2130', 'day': 3}, {'is_overnight': False, 'start': '1630', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '1630', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '1630', 'end': '2100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]","{'business_temp_closed': None, 'menu_url': 'https://www.milanwillowglen.com/menus-lists', 'open24_hours': None, 'waitlist_reservation': True}"
kOY-1i0jaW6Bb8as34sqwQ,the-grandview-restaurant-san-jose,The Grandview Restaurant,https://s3-media3.fl.yelpcdn.com/bphoto/gsy_3gmpd7f_Y-Rey8RAbw/o.jpg,False,https://www.yelp.com/biz/the-grandview-restaurant-san-jose?adjust_creative=T0nE3C9Bhi-6h61-ui1B4g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=T0nE3C9Bhi-6h61-ui1B4g,2123,"[{'alias': 'venues', 'title': 'Venues & Event Spaces'}, {'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'newamerican', 'title': 'New American'}]",3.9,"{'latitude': 37.3648272, 'longitude': -121.76407551962603}","['pickup', 'restaurant_reservation']",$$$$,"{'address1': '15005 Mount Hamilton Rd', 'address2': '', 'address3': '', 'city': 'San Jose', 'zip_code': '95140', 'country': 'US', 'state': 'CA', 'display_address': ['15005 Mount Hamilton Rd', 'San Jose, CA 95140']}",+14082518909,(408) 251-8909,11963.848083869407,"[{'open': [{'is_overnight': False, 'start': '1700', 'end': '2100', 'day': 0}, {'is_overnight': False, 'start': '1700', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '1700', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '1700', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '1700', 'end': '2100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]","{'business_temp_closed': None, 'menu_url': 'https://www.grandviewsanjose.com/menu/', 'open24_hours': None, 'waitlist_reservation': True}"
i50BEr4Pq6-D8tmsegmVyA,the-table-san-jose,The Table,https://s3-media2.fl.yelpcdn.com/bphoto/HUCmIVeNjEOJCps4fR-LOQ/o.jpg,False,https://www.yelp.com/biz/the-table-san-jose?adjust_creative=T0nE3C9Bhi-6h61-ui1B4g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=T0nE3C9Bhi-6h61-ui1B4g,3748,"[{'alias': 'newamerican', 'title': 'New American'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'salad', 'title': 'Salad'}]",3.9,"{'latitude': 37.308203, 'longitude': -121.901284}",['delivery'],$$,"{'address1': '1110 Willow St', 'address2': '', 'address3': '', 'city': 'San Jose', 'zip_code': '95125', 'country': 'US', 'state': 'CA', 'display_address': ['1110 Willow St', 'San Jose, CA 95125']}",+14086387911,(408) 638-7911,1712.3326119685419,"[{'open': [{'is_overnight': False, 'start': '1600', 'end': '2100', 'day': 0}, {'is_overnight': False, 'start': '1600', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '0900', 'end': '2345', 'day': 4}, {'is_overnight': False, 'start': '0830', 'end': '2345', 'day': 5}, {'is_overnight': False, 'start': '0830', 'end': '2100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]","{'business_temp_closed': None, 'menu_url': 'https://www.thetablesj.com/menu', 'open24_hours': None, 'waitlist_reservation': None}"
YwBw5RE9BCB1Kuq863t1hg,kings-fish-house-san-jose-san-jose,King's Fish House - San Jose,https://s3-media3.fl.yelpcdn.com/bphoto/CwJIeZ4L_JWpSdpokmOzpg/o.jpg,False,https://www.yelp.com/biz/kings-fish-house-san-jose-san-jose?adjust_creative=T0nE3C9Bhi-6h61-ui1B4g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=T0nE3C9Bhi-6h61-ui1B4g,2264,"[{'alias': 'seafood', 'title': 'Seafood'}]",4.2,"{'latitude': 37.325395, 'longitude': -121.945348}",[],$$$,"{'address1': '2855 Stevens Creek Blvd', 'address2': 'Ste 1820', 'address3': None, 'city': 'San Jose', 'zip_code': '95128', 'country': 'US', 'state': 'CA', 'display_address': ['2855 Stevens Creek Blvd', 'Ste 1820', 'San Jose, CA 95128']}",+16696993474,(669) 699-3474,5491.10348995097,"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]","{'business_temp_closed': None, 'menu_url': None, 'open24_hours': None, 'waitlist_reservation': None}"
MlwoQuHxWozRFHeCeF7fZA,orchard-city-kitchen-campbell,Orchard City Kitchen,https://s3-media4.fl.yelpcdn.com/bphoto/BLqbvUNV1yZ123IOAGZFdw/o.jpg,False,https://www.yelp.com/biz/orchard-city-kitchen-campbell?adjust_creative=T0nE3C9Bhi-6h61-ui1B4g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=T0nE3C9Bhi-6h61-ui1B4g,4643,"[{'alias': 'newamerican', 'title': 'New American'}, {'alias': 'tapas', 'title': 'Tapas Bars'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.0,"{'latitude': 37.28955, 'longitude': -121.93356}","['delivery', 'pickup']",$$,"{'address1': '1875 S Bascom Ave', 'address2': 'Ste 190', 'address3': '', 'city': 'Campbell', 'zip_code': '95008', 'country': 'US', 'state': 'CA', 'display_address': ['1875 S Bascom Ave', 'Ste 190', 'Campbell, CA 95008']}",+14083405285,(408) 340-5285,5202.9521140622355,"[{'open': [{'is_overnight': False, 'start': '1130', 'end': '2100', 'day': 0}, {'is_overnight': False, 'start': '1130', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '1130', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '1130', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '1130', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '1000', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '1000', 'end': '2100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]","{'business_temp_closed': None, 'menu_url': '', 'open24_hours': None, 'waitlist_reservation': None}"
rjUOwXNxsg0tstFssAjfsQ,luna-mexican-kitchen-the-alameda-san-jose,LUNA Mexican Kitchen - The Alameda,https://s3-media1.fl.yelpcdn.com/bphoto/JjzG0auXHdUing7hHn7keQ/o.jpg,False,https://www.yelp.com/biz/luna-mexican-kitchen-the-alameda-san-jose?adjust_creative=T0nE3C9Bhi-6h61-ui1B4g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=T0nE3C9Bhi-6h61-ui1B4g,2888,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'latin', 'title': 'Latin American'}]",4.3,"{'latitude': 37.333944, 'longitude': -121.915297}","['delivery', 'pickup']",$$,"{'address1': '1495 The Alameda', 'address2': '', 'address3': None, 'city': 'San Jose', 'zip_code': '95126', 'country': 'US', 'state': 'CA', 'display_address': ['1495 The Alameda', 'San Jose, CA 95126']}",+14083202654,(408) 320-2654,3299.44931867476,"[{'open': [{'is_overnight': False, 'start': '0900', 'end': '2100', 'day': 0}, {'is_overnight': False, 'start': '0900', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '0900', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '0900', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '0900', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '0900', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '0900', 'end': '2100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]","{'business_temp_closed': None, 'menu_url': 'https://www.lunamexicankitchen.com/menus/', 'open24_hours': None, 'waitlist_reservation': True}"
